ID,MaHang,TenHang,Ghichu,HA
1.0,20,,,
52.0,AE,CONG TY AE,,
31.0,AP,AN PHÚ,,
2.0,AS,,,
40.0,AU,Ausdoor,,
3.0,BR,,,
47.0,CA,Nhôm châu âu,,
4.0,CB,,,
38.0,CM,CMM Việt Nam,,
35.0,CU,Khuôn cũ,Bổ xung kiểm kê của Thắng 2019,
5.0,DA,,,
48.0,DK,DaiKo,,
31.0,DQ,,,
6.0,FO,,,
44.0,HC,Holcom,,
7.0,HD,,,
8.0,HH,,,
9.0,HM,,,
10.0,HN,,,
11.0,HO,,,
12.0,HP,,,
13.0,HT,,,
42.0,HV,Hoàng vân,Khuôn gửi,
45.0,HY,Huyndai,,
14.0,JG,,,
15.0,JL,,,
16.0,JS,,,
17.0,JX,,,
18.0,KC,,,
19.0,KD,,,
20.0,KG,,,
33.0,KH,Khuôn hỏng.,Cán Xếp khuôn hỏng cất.,
36.0,KK,Kiểm kê 2020,,
50.0,LT,LƯU TẠM,LƯU TẠM NHƯNG BỘ CHƯA BIẾT,
49.0,MQ,Minh Quang,,
21.0,MT,,,
,NC,NHÔM CHÂU ÂU,khuôn gửi,
43.0,OD,ONEDOOR,,
22.0,OL,,,
23.0,PH,,,
36.0,QM,,Khuôn gửi - Quang Minh.,
,SC,CÔNG TY TNHH DC VIET NAM,,
24.0,TE,,,E:\KHUON\DBIET\HA12-3-51.png#E:\KHUON\DBIET\HA12-3-51.png#
51.0,TH,Thành Hiền,,
,TP,Tuấn Phương-Hải Dương,,
25.0,TR,,,
26.0,TT,,,
46.0,VC,TC gửi,,
37.0,VE,Việt Km,,
27.0,VL,Vĩnh Lợi Thành,,
28.0,VW,,,
34.0,VY,Việt ý,,
29.0,XI,XS cũ,,
30.0,XS,Xingshun,,
41.0,ZW,Zetwe - Ấn độ,Khuôn gửi,
