ID,TenKhuon,Dot,DoDay,DoCung,Ghichu
,8851M-10-11,,,,
,8851M-9-11,,,,
,APPS14-2-81,,,,
,APTK01-1-81,,,,
,APVS19-1-81,,,,
,APVS20-1-81,,,,
,BOL2225-1-11,,,,
,BOLSADO06-1-11,,,,
,BOLTLG2829,,,,
,CKFV01-1-81,,,,
,CKFV02-1-81,,,,
,CKFV03-1-81,,,,
,CKSH07-1-81,,,,
,CN241-4-11,,,,
,CN242-4-11,,,,
,CN243-4-11,,,,
,CN244-3-11,,,,
,CN245-5-81,,,,
,CN246-6-81,,,,
,CN248-4-81,,,,
,CN249-4-81,,,,
,CN251-4-81,,,,
,CN315-11-51,,,,
,CN315-12-11,,,,
,CN316-5-81,,,,
,CN432-3-51,,,,
,DQ0521-2-81,,,,
,DQ3209-8-11,,,,
,DQ3209-9-11,,,,
,HH04-1-81,,,,
,HH05-1-81,,,,
,HH06-1-81,,,,
,HH07-1-81,,,,
,HOLEC30-1-11,,,,
,HOLEC35-1-11,,,,
,HOLSR2650.14A-3-11,,,,
,HOLSR2852.12-1-11,,,,
,HW20231-1-81,,,,
,KLCSH01-1-11,,,,
,NTM02-2-11,,,,
,SADO10-1-81,,,,
,SADO1-1-81,,,,
,SADO2-1-81,,,,
,SADO3-1-81,,,,
,SADO4-1-81,,,,
,SADO5-1-81,,,,
,SADO6-1-81,,,,
,SADO7-1-81,,,,
,SADO8-1-81,,,,
,SADO9-1-81,,,,
,SAND4004-2-81,,,,
,SC90-1-81,,,,
,SH3296A-1-81,,,,
,SHOT01-1-11,,,,
,TDC2202-1-51,,,,
,TH47N-1-81,,,,
,THPK51-1-81,,,,
,TLG2203-2-81,,,,
,TLG2204-2-81,,,,
,TLG2206N-1-81,,,,
,TLG2207-3-81,,,,
,TLG2208A-1-11,,,,
,TLG2208C-1-11,,,,
,TLG2208M-3-11,,,,
,TLG2208M-4-11,,,,
,TLG2219-2-81,,,,
,TLG2219-3-81,,,,
,TLG2225-1-11,,,,
,TLG2226-1-81,,,,
,TLG2227-1-81,,,,
,TLG2228-1-11,,,,
,TLG2229-1-11,,,,
,VIC2207-1-51,,,,
,VIC55101-105-11,,,,
,VIC55101-106-11,,,,
,VIC55101B-43-11,,,,
,VIC55101B-44-11,,,,
,VIC55101B-45-11,,,,
,VIC55201A-107-11,,,,
,VIC55201A-108-11,,,,
,VIC55201B-44-11,,,,
,VIC55201B-45-11,,,,
,VIC55201B-46-11,,,,
,VIC55201B-47-11,,,,
,VIC55301B-43-11,,,,
,VIC55301B-44-11,,,,
,VIC55301B-45-11,,,,
,VIC55402G-13-11,,,,
,VIC55402G-14-11,,,,
,VICBD01-1-81,,,,
,VICBD02-1-81,,,,
